base_process_variant,flip_p,subsample_step,k,process,reconstructor,representation,logloss_mean,logloss_std,n_states_mean,n_states_std,C_mu_empirical_mean,C_mu_empirical_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
even_process,0.01,4,7,even_process_flip0.01_sub4,one_step_greedy_merge,last_7,0.48937618850532855,0.0060002418566300715,15.6,1.1401754250991378,1.449543177194304,0.11668112829347471,0.6761402280456091,0.04460971509740183,1.228478504643864,0.08920477361031012
even_process,0.01,4,8,even_process_flip0.01_sub4,one_step_greedy_merge,last_8,0.4991645072133049,0.010490565988067158,18.4,1.673320053068151,1.65751858051756,0.05802007930732675,0.5944587532194744,0.04351016694109919,1.5340203202044609,0.1405752043614972
even_process,0.02,1,1,even_process_flip0.02,one_step_greedy_merge,last_1,0.4786364488152775,0.0008937910583644438,2.0,0.0,0.4855900389137309,0.0010527181398725422,1.0,0.0,0.0,0.0
even_process,0.02,1,2,even_process_flip0.02,one_step_greedy_merge,last_2,0.46691671776374666,0.001057754794180286,3.0,0.0,0.8482283261295664,0.0016436215164566063,1.0,0.0,0.0,0.0
even_process,0.02,1,3,even_process_flip0.02,one_step_greedy_merge,last_3,0.46179668462514245,0.0011944257919325589,3.4,0.5477225575051662,0.9913726480582916,0.04042996000690221,0.9045588639715992,0.006752495379020596,0.23477255016417686,0.022994278704061618
even_process,0.02,1,4,even_process_flip0.02,one_step_greedy_merge,last_4,0.45418978967624063,0.0008428175302588895,4.6,0.8944271909999159,1.13802494085312,0.08367138662483652,0.8952029750929718,0.023405180191039408,0.2700425130654578,0.06736805850987311
even_process,0.02,1,5,even_process_flip0.02,one_step_greedy_merge,last_5,0.4506166089965549,0.0013038177908761594,8.0,0.7071067811865475,1.2432896893347902,0.09499938858631403,0.903443879145468,0.023256445457438532,0.3346955662492754,0.08696663944261078
even_process,0.02,1,6,even_process_flip0.02,one_step_greedy_merge,last_6,0.44641203990900447,0.0015910642119454847,13.0,1.2247448713915892,1.4476073811476602,0.03459177994635245,0.8411380497896783,0.025505949373273166,0.5467655552698415,0.08169357217404428
even_process,0.02,1,7,even_process_flip0.02,one_step_greedy_merge,last_7,0.4448802641927654,0.002311814329862335,18.6,0.8944271909999161,1.540014047997444,0.04861544679168761,0.8184196709835492,0.043937844879527586,0.6371590641239051,0.0782626279307569
even_process,0.02,1,8,even_process_flip0.02,one_step_greedy_merge,last_8,0.44348659139050783,0.0031295254107802485,23.6,1.673320053068151,1.723143249890152,0.036917357729499715,0.7530623597577364,0.024436470900668975,0.8827334199575858,0.026501373677778352
even_process,0.02,2,1,even_process_flip0.02_sub2,one_step_greedy_merge,last_1,0.482379728033825,0.0018078299683655752,2.0,0.0,0.48534606771972316,0.0011735407744289455,1.0,0.0,0.0,0.0
even_process,0.02,2,2,even_process_flip0.02_sub2,one_step_greedy_merge,last_2,0.4808803631488002,0.001923694789952822,3.0,0.0,0.8986790450986998,0.0020795795286825867,1.0,0.0,0.0,0.0
even_process,0.02,2,3,even_process_flip0.02_sub2,one_step_greedy_merge,last_3,0.4802304013903916,0.0021042944498705744,4.4,0.547722557505166,1.252393781079396,0.029236698678910343,0.9985024251212561,0.002144183350539323,0.008517645938752,0.012820645167036142
