seed,process,representation,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy,condition_folder,base_process_variant,flip_p,subsample_step,k
3,even_process_flip0.01_sub2,last_5,one_step_greedy_merge,0.4669209410333875,8,1.665743227510875,0.9022551691376852,0.2930168164806473,even_process_flip0.01_sub2,even_process,0.01,2,5
3,even_process_flip0.01_sub2,last_6,one_step_greedy_merge,0.4682670593141112,12,1.8891821822729649,0.8461490380408285,0.5174966628914709,even_process_flip0.01_sub2,even_process,0.01,2,6
3,even_process_flip0.01_sub2,last_7,one_step_greedy_merge,0.4696073983584063,13,1.8687797520053169,0.7413366336633663,0.7745873533547015,even_process_flip0.01_sub2,even_process,0.01,2,7
3,even_process_flip0.01_sub2,last_8,one_step_greedy_merge,0.4768457183629898,16,2.0428235273841744,0.7193434261354402,1.0859336671339523,even_process_flip0.01_sub2,even_process,0.01,2,8
4,even_process_flip0.01_sub2,last_1,one_step_greedy_merge,0.4733262361062685,2,0.4771138073474538,1.0,0.0,even_process_flip0.01_sub2,even_process,0.01,2,1
4,even_process_flip0.01_sub2,last_2,one_step_greedy_merge,0.4716728445608567,3,0.8884435883728914,1.0,0.0,even_process_flip0.01_sub2,even_process,0.01,2,2
4,even_process_flip0.01_sub2,last_3,one_step_greedy_merge,0.4710980370307346,4,1.2280425132816457,1.0,0.0,even_process_flip0.01_sub2,even_process,0.01,2,3
4,even_process_flip0.01_sub2,last_4,one_step_greedy_merge,0.4707384718965943,7,1.3528657483874136,0.903443965247828,0.2276106646187101,even_process_flip0.01_sub2,even_process,0.01,2,4
4,even_process_flip0.01_sub2,last_5,one_step_greedy_merge,0.4707621489326858,9,1.6775509066080054,0.8916543740780558,0.3437559252700304,even_process_flip0.01_sub2,even_process,0.01,2,5
4,even_process_flip0.01_sub2,last_6,one_step_greedy_merge,0.47112638970949,11,1.7485323830883417,0.8032577850561924,0.579556190257588,even_process_flip0.01_sub2,even_process,0.01,2,6
4,even_process_flip0.01_sub2,last_7,one_step_greedy_merge,0.4785652141174653,14,2.000119244690148,0.7392614261426143,0.8836447085158874,even_process_flip0.01_sub2,even_process,0.01,2,7
4,even_process_flip0.01_sub2,last_8,one_step_greedy_merge,0.4871385992947303,16,2.0886053426072544,0.6361340650823217,1.1828320741744995,even_process_flip0.01_sub2,even_process,0.01,2,8
0,even_process_flip0.01_sub4,last_1,one_step_greedy_merge,0.47871825538973,2,0.4743511951045331,1.0,0.0,even_process_flip0.01_sub4,even_process,0.01,4,1
0,even_process_flip0.01_sub4,last_2,one_step_greedy_merge,0.4787506572307837,2,0.4743204508396837,1.0,0.0,even_process_flip0.01_sub4,even_process,0.01,4,2
0,even_process_flip0.01_sub4,last_3,one_step_greedy_merge,0.4791956872292711,3,0.842747508718714,0.9464196419641964,0.2186298245701067,even_process_flip0.01_sub4,even_process,0.01,4,3
0,even_process_flip0.01_sub4,last_4,one_step_greedy_merge,0.479158422024028,4,0.8450600137511571,0.9024378047255908,0.3462124193486193,even_process_flip0.01_sub4,even_process,0.01,4,4
0,even_process_flip0.01_sub4,last_5,one_step_greedy_merge,0.479466600478011,9,1.2055125552214447,0.7800670100515077,0.8615980199785195,even_process_flip0.01_sub4,even_process,0.01,4,5
0,even_process_flip0.01_sub4,last_6,one_step_greedy_merge,0.4868020887287157,13,1.4048645059193423,0.7000225039381892,1.1318973012331617,even_process_flip0.01_sub4,even_process,0.01,4,6
0,even_process_flip0.01_sub4,last_7,one_step_greedy_merge,0.4957340364460568,16,1.4305917977469325,0.6624824964992999,1.2908147499202645,even_process_flip0.01_sub4,even_process,0.01,4,7
0,even_process_flip0.01_sub4,last_8,one_step_greedy_merge,0.5140035574709019,21,1.7333966504600435,0.6198644695056388,1.5343081916248869,even_process_flip0.01_sub4,even_process,0.01,4,8
1,even_process_flip0.01_sub4,last_1,one_step_greedy_merge,0.4678932528651788,2,0.4752519100879511,1.0,0.0,even_process_flip0.01_sub4,even_process,0.01,4,1
1,even_process_flip0.01_sub4,last_2,one_step_greedy_merge,0.467918988851406,2,0.4752587524114171,1.0,0.0,even_process_flip0.01_sub4,even_process,0.01,4,2
1,even_process_flip0.01_sub4,last_3,one_step_greedy_merge,0.4679447287295938,2,0.4752655949374234,1.0,0.0,even_process_flip0.01_sub4,even_process,0.01,4,3
1,even_process_flip0.01_sub4,last_4,one_step_greedy_merge,0.4681617547798083,4,0.8482010043991733,0.9344918114764346,0.2639039136548919,even_process_flip0.01_sub4,even_process,0.01,4,4
1,even_process_flip0.01_sub4,last_5,one_step_greedy_merge,0.4732665929425892,7,1.2145773900410206,0.7277341601240186,0.8310065148918937,even_process_flip0.01_sub4,even_process,0.01,4,5
1,even_process_flip0.01_sub4,last_6,one_step_greedy_merge,0.4762360789620218,12,1.2335199990465573,0.7376790938414223,1.0320643610604658,even_process_flip0.01_sub4,even_process,0.01,4,6
1,even_process_flip0.01_sub4,last_7,one_step_greedy_merge,0.4848737402344975,16,1.5113060982456572,0.6797359471894379,1.1838870295921904,even_process_flip0.01_sub4,even_process,0.01,4,7
1,even_process_flip0.01_sub4,last_8,one_step_greedy_merge,0.4877519947016929,19,1.6105752409112752,0.6480208046810533,1.3447378706244917,even_process_flip0.01_sub4,even_process,0.01,4,8
2,even_process_flip0.01_sub4,last_1,one_step_greedy_merge,0.4743244813191903,2,0.4773069589179715,1.0,0.0,even_process_flip0.01_sub4,even_process,0.01,4,1
2,even_process_flip0.01_sub4,last_2,one_step_greedy_merge,0.4741938759995589,3,0.8778274258021825,1.0,0.0,even_process_flip0.01_sub4,even_process,0.01,4,2
2,even_process_flip0.01_sub4,last_3,one_step_greedy_merge,0.4742914012447567,4,0.9560484566626384,1.0,0.0,even_process_flip0.01_sub4,even_process,0.01,4,3
2,even_process_flip0.01_sub4,last_4,one_step_greedy_merge,0.4745761992601319,6,1.372384542122307,0.9005875734466808,0.3018395363963934,even_process_flip0.01_sub4,even_process,0.01,4,4
2,even_process_flip0.01_sub4,last_5,one_step_greedy_merge,0.4775566297956333,9,1.019484522224423,0.9390408561284193,0.3333100983321718,even_process_flip0.01_sub4,even_process,0.01,4,5
2,even_process_flip0.01_sub4,last_6,one_step_greedy_merge,0.49089035923105,13,1.3654245734378316,0.7830370314805091,0.9212289930620003,even_process_flip0.01_sub4,even_process,0.01,4,6
2,even_process_flip0.01_sub4,last_7,one_step_greedy_merge,0.4884795322228825,17,1.6170141780158,0.6096719343868774,1.295752649815077,even_process_flip0.01_sub4,even_process,0.01,4,7
2,even_process_flip0.01_sub4,last_8,one_step_greedy_merge,0.495092167844931,17,1.6775800628031736,0.5320197044334976,1.689639278248978,even_process_flip0.01_sub4,even_process,0.01,4,8
3,even_process_flip0.01_sub4,last_1,one_step_greedy_merge,0.4815494302006122,2,0.4772324510176309,1.0,0.0,even_process_flip0.01_sub4,even_process,0.01,4,1
3,even_process_flip0.01_sub4,last_2,one_step_greedy_merge,0.481576046544642,2,0.4772393022969554,1.0,0.0,even_process_flip0.01_sub4,even_process,0.01,4,2
3,even_process_flip0.01_sub4,last_3,one_step_greedy_merge,0.4814652467938339,3,0.5982140369370379,0.9454195419541954,0.21866583545518,even_process_flip0.01_sub4,even_process,0.01,4,3
3,even_process_flip0.01_sub4,last_4,one_step_greedy_merge,0.4813572752912225,5,0.8858706449058202,0.9686960870108764,0.1279613707894222,even_process_flip0.01_sub4,even_process,0.01,4,4
3,even_process_flip0.01_sub4,last_5,one_step_greedy_merge,0.4822493217130797,8,1.2193189156832285,0.8187728159223884,0.6602885747806614,even_process_flip0.01_sub4,even_process,0.01,4,5
3,even_process_flip0.01_sub4,last_6,one_step_greedy_merge,0.4841235127259523,13,1.295233995177866,0.7089240617107994,0.9824770419014852,even_process_flip0.01_sub4,even_process,0.01,4,6
3,even_process_flip0.01_sub4,last_7,one_step_greedy_merge,0.4953020393507873,14,1.3363950445807304,0.7000150030006002,1.2803508270227568,even_process_flip0.01_sub4,even_process,0.01,4,7
3,even_process_flip0.01_sub4,last_8,one_step_greedy_merge,0.5055277957118017,18,1.677187103479158,0.589582656097622,1.6467378069881458,even_process_flip0.01_sub4,even_process,0.01,4,8
4,even_process_flip0.01_sub4,last_1,one_step_greedy_merge,0.4765522347692993,2,0.4756264955902247,1.0,0.0,even_process_flip0.01_sub4,even_process,0.01,4,1
4,even_process_flip0.01_sub4,last_2,one_step_greedy_merge,0.476434610247831,2,0.4756333396309752,1.0,0.0,even_process_flip0.01_sub4,even_process,0.01,4,2
4,even_process_flip0.01_sub4,last_3,one_step_greedy_merge,0.4766073853897677,4,0.6067252071912524,0.9494699469946994,0.2080395253563925,even_process_flip0.01_sub4,even_process,0.01,4,3
4,even_process_flip0.01_sub4,last_4,one_step_greedy_merge,0.4764717547041545,4,0.5958460297848946,0.9768721090136268,0.0995106198707405,even_process_flip0.01_sub4,even_process,0.01,4,4
4,even_process_flip0.01_sub4,last_5,one_step_greedy_merge,0.4767204168918593,8,0.9349940615327884,0.9382907436115416,0.2871631982586763,even_process_flip0.01_sub4,even_process,0.01,4,5
4,even_process_flip0.01_sub4,last_6,one_step_greedy_merge,0.4772028857771325,13,1.1390978412432529,0.8841797314530043,0.5512286678833241,even_process_flip0.01_sub4,even_process,0.01,4,6
4,even_process_flip0.01_sub4,last_7,one_step_greedy_merge,0.4824915942724187,15,1.3524087673824,0.7287957591518304,1.091587266869031,even_process_flip0.01_sub4,even_process,0.01,4,7
4,even_process_flip0.01_sub4,last_8,one_step_greedy_merge,0.4934470203371969,17,1.5888538449341498,0.5828061313795604,1.4546784535358024,even_process_flip0.01_sub4,even_process,0.01,4,8
