obs_std,seed,method,method_param,n_states,ari_slow,ari_fast,ari_joint,gaussian_logloss,elapsed_s
0.15,0,history_kmeans,18.0,18,0.014567751593159275,0.01478046418099611,0.023909581632064775,0.220734620983935,1.5924448519945145
0.15,1,kalman_predictive_single,0.25,1698,0.038564553269248555,0.0003307226740237725,0.021803506638494882,0.14957406829539802,1.121253508143127
0.15,1,kalman_predictive_single,0.35,700,0.006604911345054905,9.035433828666913e-05,0.0021565388406007734,0.14957406829539802,1.1060155779123306
0.15,1,kalman_predictive_single,0.5,244,-0.0003909339485372179,2.7321097245130068e-05,-8.806198126358513e-05,0.14957406829539802,1.0803469624370337
0.15,1,kalman_predictive_kmeans,3.0,3,0.47679362799097535,-0.00020528593237670973,0.18381874608713916,0.14957406829539802,0.021572144702076912
0.15,1,kalman_predictive_kmeans,6.0,6,0.265980653289455,-5.161555957099844e-05,0.14128762997877622,0.14957406829539802,0.08843873348087072
0.15,1,kalman_predictive_kmeans,9.0,9,0.19840270904684204,-9.185027045579174e-05,0.12360989821676517,0.14957406829539802,0.21963656321167946
0.15,1,kalman_predictive_kmeans,12.0,12,0.1689336615616784,-2.3921787015331154e-05,0.11507781551779203,0.14957406829539802,0.43264393601566553
0.15,1,kalman_predictive_kmeans,18.0,18,0.12571523175027563,-4.061667248804242e-05,0.09451780897086717,0.14957406829539802,0.8049838561564684
0.15,1,obs_pca_kmeans,3.0,3,0.00012995756415834413,0.0008359178537405296,0.0002287906132335804,0.14957406829539802,0.04564621206372976
0.15,1,obs_pca_kmeans,6.0,6,0.0007507656927832438,0.23197172397380914,0.1235959934939645,0.14957406829539802,0.0648308889940381
0.15,1,obs_pca_kmeans,9.0,9,0.00019566078647377267,0.13984464084812112,0.08497532033155025,0.14957406829539802,0.13168430421501398
0.15,1,obs_pca_kmeans,12.0,12,-3.922418469542777e-05,0.11528982450109511,0.07547578625395676,0.14957406829539802,0.21390126831829548
0.15,1,obs_pca_kmeans,18.0,18,0.00023693748624915192,0.11760202830782325,0.08667525661925406,0.14957406829539802,0.20932391565293074
0.15,1,history_kmeans,3.0,3,0.0014836473769732962,0.00019261328004865121,0.0006218024776578618,0.14957406829539802,0.12552667781710625
0.15,1,history_kmeans,6.0,6,0.03667887250126275,0.02080468093308873,0.033075496313229515,0.14957406829539802,1.036193884909153
0.15,1,history_kmeans,9.0,9,0.038952551225162495,0.007580902632867093,0.029394454444199133,0.14957406829539802,1.0573822483420372
0.15,1,history_kmeans,12.0,12,0.0497113191504554,0.005449010602606612,0.03849721138257683,0.14957406829539802,2.005180122330785
0.15,1,history_kmeans,18.0,18,0.041955716617524445,0.011186206905837465,0.04245677034534708,0.14957406829539802,1.666376044973731
0.15,2,kalman_predictive_single,0.25,1860,0.01530470010787431,-8.878061431682984e-05,0.009701576403016646,0.18865543050150974,1.1568936025723815
0.15,2,kalman_predictive_single,0.35,783,0.0013228278632477714,-9.052802676834622e-05,0.00034993367955125817,0.18865543050150974,1.117917662486434
0.15,2,kalman_predictive_single,0.5,264,-0.00022713919573746834,-5.62210078297947e-06,-0.00012598949270600538,0.18865543050150974,1.1144816325977445
0.15,2,kalman_predictive_kmeans,3.0,3,0.45205805856181847,-0.0003225923185165253,0.178023257034484,0.18865543050150974,0.022761428728699684
0.15,2,kalman_predictive_kmeans,6.0,6,0.24543941230534988,4.248898386058645e-05,0.1316547836366836,0.18865543050150974,0.15565765090286732
0.15,2,kalman_predictive_kmeans,9.0,9,0.20379685943829842,-3.232164066399199e-05,0.12639554735549988,0.18865543050150974,0.19969485700130463
0.15,2,kalman_predictive_kmeans,12.0,12,0.15418045906847264,-2.7316620844823536e-05,0.10449664838230568,0.18865543050150974,0.4061130974441767
0.15,2,kalman_predictive_kmeans,18.0,18,0.11096416637756468,0.0001971797513840105,0.08388980870546382,0.18865543050150974,0.6752119045704603
0.15,2,obs_pca_kmeans,3.0,3,-5.673994091065466e-05,3.4127710726154274e-05,-8.705801930975596e-05,0.18865543050150974,0.041967456229031086
0.15,2,obs_pca_kmeans,6.0,6,0.00011117994156690283,0.23503619585140753,0.12365267218364125,0.18865543050150974,0.1765613853931427
0.15,2,obs_pca_kmeans,9.0,9,-0.0002657817469945724,0.14632531828383577,0.08693820183707689,0.18865543050150974,0.1293578976765275
0.15,2,obs_pca_kmeans,12.0,12,-0.0001897086075750939,0.1218500067920979,0.08042936155990611,0.18865543050150974,0.14973931945860386
0.15,2,obs_pca_kmeans,18.0,18,-6.611375455218374e-05,0.1179889251145278,0.0854840279471964,0.18865543050150974,0.40183021407574415
0.15,2,history_kmeans,3.0,3,0.0020267748577330958,-2.1159996342433984e-05,0.000710613433856514,0.18865543050150974,0.14449599757790565
